;April_Fools;Christmas;Columbus;Easter;Fathers;Flag;4th_Of_July;Groundhog;Halloween;Hanukkah;Labor;MLK;Memorial;Mothers;New_Years;Passover;Presidents;St_Patrick;St_Valentines;Thanksgiving;Veterans;Yom_Kippur;Patriots;Secretaries
April_Fools;1,00;0,00;0,19;0,15;0,22;0,41;0,11;0,67;0,26;0,00;0,26;0,22;0,30;0,30;0,11;0,11;0,19;0,33;0,19;0,00;0,19;0,04;0,33;0,56
Christmas;0,00;1,00;0,00;0,74;0,11;0,04;0,11;0,11;0,30;0,70;0,04;0,11;0,04;0,11;0,37;0,48;0,11;0,19;0,33;0,37;0,00;0,44;0,00;0,04
Columbus;0,19;0,00;1,00;0,00;0,22;0,44;0,30;0,19;0,15;0,04;0,41;0,59;0,48;0,22;0,04;0,04;0,63;0,19;0,07;0,26;0,70;0,19;0,56;0,26
Easter;0,15;0,74;0,00;1,00;0,15;0,04;0,15;0,00;0,26;0,52;0,04;0,00;0,15;0,22;0,26;0,63;0,00;0,22;0,22;0,41;0,00;0,48;0,07;0,15
Fathers;0,22;0,11;0,22;0,15;1,00;0,15;0,19;0,19;0,19;0,04;0,19;0,22;0,15;0,93;0,11;0,07;0,19;0,15;0,19;0,11;0,15;0,00;0,15;0,33
Flag;0,41;0,04;0,44;0,04;0,15;1,00;0,37;0,41;0,07;0,04;0,52;0,33;0,56;0,15;0,04;0,04;0,59;0,19;0,07;0,07;0,67;0,04;0,81;0,33
4th_Of_July;0,11;0,11;0,30;0,15;0,19;0,37;1,00;0,04;0,15;0,07;0,44;0,22;0,56;0,11;0,15;0,07;0,37;0,26;0,19;0,26;0,41;0,07;0,41;0,04
Groundhog;0,67;0,11;0,19;0,00;0,19;0,41;0,04;1,00;0,19;0,11;0,26;0,33;0,19;0,19;0,22;0,00;0,33;0,26;0,30;0,00;0,19;0,04;0,26;0,52
Halloween;0,26;0,30;0,15;0,26;0,19;0,07;0,15;0,19;1,00;0,15;0,07;0,04;0,00;0,19;0,37;0,11;0,04;0,26;0,48;0,48;0,15;0,19;0,07;0,15
Hanukkah;0,00;0,70;0,04;0,52;0,04;0,04;0,07;0,11;0,15;1,00;0,04;0,11;0,04;0,04;0,22;0,78;0,11;0,19;0,26;0,22;0,00;0,74;0,00;0,04
Labor;0,26;0,04;0,41;0,04;0,19;0,52;0,44;0,26;0,07;0,04;1,00;0,26;0,67;0,11;0,11;0,04;0,41;0,26;0,11;0,19;0,52;0,11;0,48;0,30
MLK;0,22;0,11;0,59;0,00;0,22;0,33;0,22;0,33;0,04;0,11;0,26;1,00;0,37;0,22;0,15;0,00;0,70;0,15;0,22;0,04;0,44;0,04;0,37;0,30
Memorial;0,30;0,04;0,48;0,15;0,15;0,56;0,56;0,19;0,00;0,04;0,67;0,37;1,00;0,22;0,07;0,15;0,56;0,30;0,07;0,22;0,70;0,07;0,67;0,30
Mothers;0,30;0,11;0,22;0,22;0,93;0,15;0,11;0,19;0,19;0,04;0,11;0,22;0,22;1,00;0,11;0,15;0,19;0,19;0,19;0,11;0,15;0,00;0,19;0,41
New_Years;0,11;0,37;0,04;0,26;0,11;0,04;0,15;0,22;0,37;0,22;0,11;0,15;0,07;0,11;1,00;0,11;0,11;0,33;0,44;0,30;0,00;0,11;0,00;0,07
Passover;0,11;0,48;0,04;0,63;0,07;0,04;0,07;0,00;0,11;0,78;0,04;0,00;0,15;0,15;0,11;1,00;0,00;0,19;0,11;0,22;0,00;0,78;0,07;0,15
Presidents;0,19;0,11;0,63;0,00;0,19;0,59;0,37;0,33;0,04;0,11;0,41;0,70;0,56;0,19;0,11;0,00;1,00;0,22;0,22;0,11;0,70;0,04;0,63;0,26
St_Patrick;0,33;0,19;0,19;0,22;0,15;0,19;0,26;0,26;0,26;0,19;0,26;0,15;0,30;0,19;0,33;0,19;0,22;1,00;0,52;0,07;0,19;0,15;0,19;0,26
St_Valentines;0,19;0,33;0,07;0,22;0,19;0,07;0,19;0,30;0,48;0,26;0,11;0,22;0,07;0,19;0,44;0,11;0,22;0,52;1,00;0,22;0,04;0,07;0,00;0,11
Thanksgiving;0,00;0,37;0,26;0,41;0,11;0,07;0,26;0,00;0,48;0,22;0,19;0,04;0,22;0,11;0,30;0,22;0,11;0,07;0,22;1,00;0,26;0,26;0,19;0,04
Veterans;0,19;0,00;0,70;0,00;0,15;0,67;0,41;0,19;0,15;0,00;0,52;0,44;0,70;0,15;0,00;0,00;0,70;0,19;0,04;0,26;1,00;0,15;0,81;0,22
Yom_Kippur;0,04;0,44;0,19;0,48;0,00;0,04;0,07;0,04;0,19;0,74;0,11;0,04;0,07;0,00;0,11;0,78;0,04;0,15;0,07;0,26;0,15;1,00;0,07;0,00
Patriots;0,33;0,00;0,56;0,07;0,15;0,81;0,41;0,26;0,07;0,00;0,48;0,37;0,67;0,19;0,00;0,07;0,63;0,19;0,00;0,19;0,81;0,07;1,00;0,37
Secretaries;0,56;0,04;0,26;0,15;0,33;0,33;0,04;0,52;0,15;0,04;0,30;0,30;0,30;0,41;0,07;0,15;0,26;0,26;0,11;0,04;0,22;0,00;0,37;1,00
